,COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,Test/Interview #
618,International Hospitality Management,GC306,253,,253,,253,,253,
619,Computing,GC335,217,,195,,195,,235,
620,Business Studies,GC400,248,,248,,248,,281,
621,Accounting and Finance,GC401,240,,227,,202,,343,
622,Business Studies (HRM),GC402,264,,236,,218,,236,
623,Law,GC403,244,,228,,228,,328,
624,Business Studies (Marketing),GC407,280,,280,,218,,321,
625,Marketing,GC410,145,,,,145,,371,
626,Business,GC411,135,,135,,135,,370,
627,Computing Science,GC430,252,,220,,220,,298,
628,Computing,GC435,AQA,,AQA,,96,,279,
629,Communications and Media Production,GC450,254,,254,,254,,280,
630,Music Production for Games (portfolio),GC460,,,,,,,,#
631,Design Communication (portfolio),GC462,,,,,,,,#
632,Communications,GC465,AQA,,,,AQA,,349,
633,Film and TV Production,GC466,AQA,,AQA,,AQA,,339,
634,Photographic Media,GC470,169,,169,,169,,279,
635,Photography,GC475,150,,150,,150,,348,
636,Interior Architecture (portfolio),GC489,254,,,,254,,301,#
637,Interior Design,GC490,117,,117,,117,,360,
638,Fashion Design (portfolio),GC494,337,,217,,217,,412,#
639,Fashion,GC495,129,,129,,129,,349,
640,Arts (Joint-Honours),GY101,300,,,,300,,391,
641,Arts (Psychology),GY104,523,,520,,519,,542,
642,Arts (History),GY105,301,,,,301,,377,
643,Na Dána (Gaeilge agus Léann an Aistriúcháin),GY107,409,,,,409,,456,
644,Arts (Mathematics and Education),GY109,403,,,,403,,466,
645,Arts with Children`s Studies,GY110,357,,,,357,,418,
646,Arts with Creative Writing,GY111,330,,,,330,,492,
647,Arts with Film Studies,GY112,321,,,,321,,399,
648,Arts with Human Rights,GY113,368,,,,368,,422,
649,Arts with Performing Arts Studies,GY115,387,,,,387,,443,
650,"Arts (Drama, Theatre and Performance Studies)",GY118,451,,,,451,,492,
651,Arts (Journalism),GY119,400,,,,400,,465,
652,"Arts (Child, Youth and Family: Policy and Practice)",GY120,350,,,,350,,397,
653,Arts (Children`s Studies),GY121,356,,,,356,,419,
654,Na Dána (Cumarsáid agus Gaeilge),GY122,361,,,,361,,453,
655,Applied Social Sciences,GY123,358,,,,358,,410,
656,Arts (Arts with Data Science),GY124,454,,,,454,,490,
657,Arts (Digital Arts and Technology),GY125,328,,,,328,,347,
658,Arts (English and Media Studies),GY126,391,,,,391,,462,
659,Arts (Film and Digital Media),GY127,401,,,,401,,462,
660,Arts (Global Languages),GY128,352,,,,352,,476,
661,Arts (International),GY129,420,,,,420,,462,
662,Arts (Music),GY130,408,,,,408,,495,
663,Arts (History and Globalisation Studies),GY131,360,,,,360,,440,
664,"Government (Politics, Economics and Law)",GY132,407,,,,407,,435,
665,Education (Computer Science and Mathematical Studies),GY133,422,,,,422,,498,
666,Geography and Geosystems,GY134,410,,,,410,,445,
667,Commerce,GY201,433,,,,433,,466,
668,Commerce (International) with French,GY202,484,,,,484,,511,
669,Commerce (International) with German,GY203,489,,,,489,,566,
670,Commerce (International) with Spanish,GY204,495,,,,495,,511,
671,Business Information Systems (Work Placement & Optional Int`l Study),GY206,465,,,,465,,488,
672,Commerce (Accounting) including optional Global Experience year,GY207,509,,,,509,,543,
673,Commerce (Gaeilge),GY208,473,,,,473,,511,
674,Commerce (Global Experience),GY209,530,,,,530,,554,
675,Law and Business,GY250,487,,,,487,,510,
676,Law (BCL),GY251,499,,,,499,,518,
677,Law (BCL) and Human Rights,GY252,520,,,,520,,541,
678,Law and Taxation,GY253,509,,,,509,,543,
679,"Law (BCL), Criminology and Criminal Justice",GY254,530,,,,530,,554,
680,"Business Studies (International Hotel Management, interview)",GY261,497,,,,497,,611,#
681,"Commerce (International Hotel Management, interview)",GY262,681,,,,681,,724,#
682,Science,GY301,433,,432,,432,,487,
683,Biomedical Science,GY303,556,,,,556,,589,
684,Biotechnology,GY304,465,,,,465,,498,
685,Environmental Science,GY308,408,,,,408,,484,
686,Financial Mathematics and Economics,GY309,487,,,,487,,532,
687,Marine Science,GY310,419,,,,419,,476,
688,Environmental Health and Safety,GY313,412,,,,412,,440,
689,Earth and Ocean Sciences,GY314,403,,,,403,,444,
690,Biopharmaceutical Chemistry,GY318,509,,,,509,,542,
691,Mathematical Science,GY319,476,,,,476,,566,
692,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",GY320,402,,,,402,,478,
693,Genetics and Genomics,GY321,508,,,,508,,532,
694,Computer Science and Information Technology,GY350,403,,,,403,,454,
695,Engineering (Undenominated),GY401,465,,,,465,,511,
696,Civil Engineering,GY402,455,,,,455,,499,
697,Mechanical Engineering,GY405,454,,,,454,,509,
698,Electronic and Computer Engineering,GY406,510,,,,510,,544,
699,Biomedical Engineering,GY408,509,,,,509,,554,
700,Project and Construction Management,GY410,403,,,,403,,456,
701,Energy Systems Engineering,GY413,502,,,,502,,531,
702,Electrical and Electronic Engineering,GY414,405,,,,405,,429,
703,"Medicine (five year/six year course, HPAT required)",GY501,728,*,,,728,,731,#
704,Occupational Therapy,GY502,555,,,,555,,567,
705,Speech and Language Therapy,GY503,543,,,,543,,554,
706,Podiatric Medicine,GY504,443,,,,443,,476,
707,General Nursing (Galway and Portiuncula),GY515,476,,473,,473,,496,
708,Mental Health Nursing,GY516,440,,,,440,,467,
709,Midwifery,GY517,495,,,,495,,518,
710,Accounting and Finance,ID001,203,,,,203,,253,
711,Business Studies,ID002,294,,,,294,,309,
712,"Art and Design (Common Entry, portfolio)",LC110,740,,,,740,,961,#
713,Fashion and Textiles for Product and Costume (portfolio),LC114,880,,,,880,,1029,#
714,Art and Design Teacher Education (portfolio),LC115,942,,,,942,,1013,#
715,Digital Marketing,LC220,262,,,,262,,298,
716,Accounting and Finance,LC221,241,,,,251,,489,
717,Marketing and Management,LC222,270,,,,270,,405,
718,Law and Taxation,LC223,307,,,,307,,356,
719,Accounting and Finance,LC224,300,,,,300,,371,
720,Marketing and Management,LC225,298,,,,298,,358,
721,Enterprise and Innovation,LC226,234,,234,,234,,310,
722,Sports Development and Coaching,LC228,205,,,,205,,341,
723,Business with Computing,LC230,217,,,,217,,386,
724,Software Development,LC233,272,,,,272,,339,
725,Interactive Digital Media,LC234,225,,,,225,,307,
726,Internet Systems Development,LC235,205,,,,205,,315,
727,Internet Systems Development,LC236,262,,260,,260,,272,
728,Computer Networks and Systems Management,LC239,307,,,,309,,371,
729,Construction Management,LC241,255,,,,255,,338,
730,Property Valuation and Management,LC242,282,,,,282,,320,
731,Quantity Surveying,LC243,294,,,,298,,362,
732,Built Environment (Common Entry),LC248,288,,,,288,,376,
733,Civil Engineering,LC251,206,,,,206,,377,
734,Civil Engineering Management,LC252,270,,,,270,,308,
735,Interior Design,LC257,264,,,,264,,378,
736,Applied Biology,LC260,326,,,,326,,466,
737,Clinical Technology,LC263,294,,,,294,,359,
738,Forensic and Pharmaceutical Sciences,LC265,413,,,,413,,476,
739,Drug and Medicinal Product Analysis,LC266,262,,,,262,,300,
740,Forensic and Pharmaceutical Sciences,LC267,329,,,,329,,443,
741,Medical Technology,LC268,289,,,,289,,411,
742,Music Technology and Production,LC270,307,,,,307,,398,
743,Electrical Engineering,LC271,261,,,,261,,348,
744,Electrical Engineering,LC275,298,,,,298,,384,
745,Creative Broadcast and Film Production,LC276,297,,,,297,,409,
746,Industrial Automation and Robotic Systems,LC277,232,,,,232,,342,
747,Renewable and Electrical Energy Engineering,LC278,280,,,,280,,387,
748,Electronic Engineering,LC279,214,,,,226,,392,
749,Automobile Technology,LC281,208,,,,208,,332,
750,Precision Engineering,LC283,227,,,,233,,296,
751,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",LC284,200,,,,200,,315,
752,Mechanical Engineering,LC285,272,,,,272,,455,
753,Road Transport Technology and Management,LC286,264,,,,264,,360,
754,Mechanical Engineering,LC288,347,,346,,346,,415,
755,Precision Engineering,LC289,291,,,,291,,350,
756,Community Sport Development,LC290,188,,,,188,,312,
757,Social Care Work,LC292,367,,,,367,,389,
758,Business Studies with Travel and Tourism Management,LC293,307,,,,307,,356,
759,Business Studies with Event Management,LC294,279,,,,279,,347,
760,Business Studies with Sports Management,LC295,252,,,,252,,313,
761,Community Development,LC297,235,,,,235,,298,
762,Business,LC320,346,,,,346,,388,
763,Business with Computing,LC330,297,,,,297,,378,
764,Computing,LC336,207,,,,222,,337,
765,Interior Design,LC340,350,,,,350,,391,
766,Biotechnology and Biopharmaceutical Sciences,LC362,413,,,,413,,440,
767,Creative Broadcast and Film Production,LC371,309,,,,309,,378,
768,Music Technology and Production,LC372,325,,,,325,,402,
769,Renewable and Electrical Energy Engineering,LC374,318,,,,318,,410,
770,Industrial Automation and Robotic Systems,LC375,317,,,,317,,392,
771,Electronic Engineering,LC376,318,,,,318,,358,
772,Automotive Engineering and Transport Management,LC380,303,,298,,298,,337,
773,Business Studies in Beauty and Spa Management,LC392,236,,,,236,,328,
774,Early Childhood Education and Care,LC393,236,,,,236,,307,
775,Culinary Arts,LC398,163,,,,163,,376,
776,Hospitality Supervision,LC399,148,,,,148,,300,
777,Early Childhood Education and Care,LC401,297,,,,297,,298,
778,Social Care Work,LC402,225,,,,225,,288,
779,Environmental Science and Climate,LC408,279,,,,279,,348,
780,Data Analytics and Cyber Security,LC414,236,,,,236,,336,
781,Business,LC415,197,,,,197,,444,
782,Business,LC416,274,,,,274,,391,
783,Computing - Games Design and Development,LC418,270,,,,270,,338,
784,Sports Strength and Conditioning,LC422,298,,,,298,,347,
785,Sports Strength and Conditioning,LC423,157,,,,157,,330,
786,Environmental Science,LC425,278,,,,278,,399,
787,Environmental Science and Agriculture,LC428,278,,,,278,,429,
788,Early Childhood Education and Care,LC432,144,,,,144,,367,
789,Environmental Science and Agriculture,LC434,297,,,,297,,349,
790,Game Art and Design (portfolio),LC502,852,,,,852,,1024,#
791,Creative Media and Design,LC504,192,,,,192,,378,
792,Creative Media and Design,LC517,234,,,,234,,327,
793,Digital Animation Production (portfolio),LC518,808,,,,808,,939,#
794,Social Care Work,LC602,260,,,,260,,370,
795,Early Childhood Education and Care,LC603,147,,,,174,,327,
796,Business,LC605,195,,,,195,,418,
797,Social Care Work,LC612,320,,,,320,,343,
798,Early Childhood Education and Care,LC613,242,,,,242,,327,
799,Arts,LM002,348,,,,348,,410,
800,Law and Accounting,LM020,465,,,,465,,499,
801,Performing Arts (audition required),LM026,303,,,,303,,401,#
802,Criminal Justice,LM028,418,,,,418,,440,
803,Law Plus,LM029,490,,,,490,,521,
804,Psychology and Sociology,LM038,500,,,,500,,507,
805,Journalism and Digital Communication,LM039,402,,,,402,,455,
806,European Studies,LM040,369,,,,369,,488,
807,Applied Languages,LM044,442,,,,442,,499,
808,Business Studies (options),LM050,431,,,,431,,476,
809,International Business,LM056,528,,,,528,,555,
810,Financial Mathematics,LM058,403,,,,403,,521,
811,Technology Management,LM063,379,,,,379,,419,
812,Food Science and Health,LM068,421,,,,421,,454,
813,Product Design and Technology (portfolio required),LM076,408,,,,408,,487,#
814,Aeronautical Engineering,LM077,520,,,,520,,554,
815,Construction Management and Engineering,LM082,398,,,,398,,434,
816,Sport and Exercise Sciences,LM089,474,,,,474,,489,
817,Physical Education with concurrent Teacher Education,LM090,532,*,,,532,*,565,
818,Languages with concurrent Teacher Education,LM091,517,,,,517,,543,
819,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507,,,,507,,531,
820,Equine Science,LM093,339,,,,339,,412,
821,Materials and Architectural Technology with concurrent Teacher Education,LM094,440,,,,440,,478,
822,Materials and Engineering Technology with concurrent Teacher Education,LM095,367,,,,367,,421,
823,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405,,,,405,,454,
824,Mathematics and Computer Science with concurrent Teacher Education,LM097,402,,,,402,,509,
825,Architecture (portfolio requirement suspended),LM099,498,,,,498,,532,#
826,Physiotherapy,LM100,589,*,,,589,*,601,
827,Medicine  - Graduate Entry (GAMSAT required),LM101,55,*,,,55,*,57,#
828,Psychology,LM102,509,,,,509,,529,
829,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392,,,,392,,445,#
830,Chemical and Biochemical Engineering,LM115,454,,,,454,,532,
831,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476,*,,,476,*,521,
832,Electronic and Computer Engineering,LM118,403,,,,403,,489,
833,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351,,,,351,,423,
834,Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327,,,,327,,401,
835,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441,*,,,441,*,478,
836,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437,,,,437,,509,
837,Physics (Applied Physics or Mathematics & Physics),LM125,404,,,,404,,520,
838,General Nursing,LM150,475,*,,,475,*,498,
839,Mental Health Nursing,LM152,419,*,,,419,*,430,
840,Intellectual Disability Nursing,LM154,420,,,,440,,473,
841,Midwifery,LM156,469,,,,469,,499,
842,Equine Science,LM180,337,,,,328,,440,
843,Business - Common Entry,LY107,161,,161,,161,,358,
844,Business - Accounting,LY108,309,,,,309,,431,
845,Business,LY118,290,,,,290,,377,
846,Sports Studies,LY206,149,,148,,148,,299,
847,Law with Criminal Justice,LY207,160,,160,,160,,377,
848,Law,LY208,300,,,,300,,367,
849,Sports and Exercise - Common Entry,LY228,300,,,,300,,367,
850,Culinary Arts,LY317,229,,224,,224,,387,
851,Hospitality And Tourism - Common Entry,LY327,170,,170,,170,,317,
852,Design - Common Entry,LY408,320,,,,320,,381,#
853,Digital Film and Video,LY427,172,,170,,172,,307,
854,Animation,LY437,198,,223,,198,,387,#
855,Fashion with Promotion,LY447,266,,279,,266,,384,#
856,Graphic and Digital Design,LY457,179,,204,,189,,356,#
857,Quantity Surveying,LY507,181,,181,,181,,312,
858,Fire Safety Engineering,LY508,276,,,,276,,326,
859,Quantity Surveying,LY518,301,,,,301,,368,
860,Civil Engineering,LY527,165,,163,,163,,329,
861,Construction Management,LY528,271,,,,271,,321,
862,Electronic Engineering,LY607,160,,,,160,,389,
863,Mechanical Engineering,LY608,300,,,,300,,379,
864,Mechanical Engineering,LY617,180,,180,,180,,328,
865,Electronic Engineering,LY618,312,,,,312,,402,
866,Computer Games Development,LY707,204,,,,204,,299,
867,Applied Computing,LY708,306,,,,306,,372,
868,Computing,LY717,164,,160,,160,,350,
869,Computer Security and Digital Forensics,LY737,169,,169,,169,,348,
870,Computer Science,LY748,317,,317,,317,,420,
871,Pharmacy Technician,LY806,232,,,,232,,377,
872,Dental Nursing,LY816,233,,223,,223,,326,
873,Bioscience,LY817,248,,,,248,,420,
874,Science - Common Entry,LY818,303,,,,303,,409,
875,Health Science with Physiotherapy Studies,LY826,456,,401,,339,,445,
876,Agriculture - Common Entry,LY828,307,,,,307,,351,
877,Health Science with Occupational Therapy Studies,LY836,473,,408,,278,,451,
878,Food Science and Nutrition,LY837,194,,194,,194,,388,
879,Health Science with Dietetics Studies,LY846,316,,316,,291,,462,
880,Veterinary Nursing,LY847,367,*,367,,367,,399,
881,Pharmaceutical & Medicinal Science,LY867,163,,163,,163,,310,
882,Agriculture,LY877,202,,181,,181,,327,
883,"Early Childhood Care, Health and Education",LY906,205,,161,,161,,356,
884,General Nursing,LY908,400,*,,,400,*,423,
885,Health and Social Care,LY916,181,,,,181,,336,
886,Psychiatric Nursing,LY918,357,*,,,357,,387,
887,Intellectual Disability Nursing,LY928,326,*,,,328,,346,
888,"Early Childhood Care, Health and Education",LY968,303,,,,303,,361,
889,Health & Social Care - Common Entry,LY978,280,,,,280,,330,
890,Education - Primary Teaching (Froebel),MH001,507,,,,507,,531,
891,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,,,,,,,,#
892,Arts,MH101,318,,,,318,,388,
893,Music,MH103,#,,,,#,,#,#
894,Psychology - 3 years,MH106,521,,,,521,,529,
895,Social Science,MH107,346,,,,346,,388,
896,Media Studies,MH109,316,,,,316,,377,
897,Community and Youth Work (Full-Time),MH116,#,,,,#,,#,#
898,Science,MH201,360,,,,360,,418,
899,Biotechnology,MH202,455,,,,455,,466,
900,Biological and Geographical Sciences,MH203,430,,,,430,,465,
901,Physics with Astrophysics,MH204,422,,,,422,,479,
902,Theoretical Physics and Mathematics,MH206,510,,,,510,,533,
903,Data Science,MH207,445,,,,445,,520,
904,Biological and Biomedical Sciences,MH208,498,,,,498,,510,
905,Psychology (through Science) - 4 years,MH209,498,,,,498,,510,
906,Pharmaceutical and Biomedical Chemistry,MH210,487,,,,487,,520,
907,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422,,,,422,,487,
908,Engineering (Computer/Electronic/Communications),MH304,333,,333,,333,,444,
909,Product Design,MH305,357,,,,357,,409,
910,Robotics and Intelligent Devices,MH306,361,,,,361,,433,
911,Finance (options),MH401,357,,,,357,,398,
912,Quantitative Finance,MH402,476,,,,476,,509,
913,Accounting and Finance,MH403,422,,,,422,,468,
914,Business (options),MH404,430,,,,430,,454,
915,Equine Business,MH405,357,,,,357,,408,
916,Business and Accounting,MH407,420,,,,420,,462,
917,Entrepreneurship,MH411,371,,,,371,,408,
918,LLB Law - four year Single Major Law programme,MH501,473,,,,473,,495,
919,Law (options),MH502,451,,,,451,,473,
920,Computer Science through Arts (options),MH601,352,,,,352,,403,
921,Computer Science through Science (options),MH602,351,,,,351,,409,
922,Computational Thinking,MH603,532,,,,532,,544,
923,Early Childhood - Teaching and Learning (part-time),MH801,327,,,,327,,378,
924,"Community and Youth Work (part-time, in service)",MH802,#,,#,,#,,,#
925,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,#,,#,,#,,,#
926,Contemporary & Applied Theatre Studies,MI001,375,,,,390,,412,
927,Arts,MI002,300,,281,,281,,389,
928,Education - Primary Teaching - International,MI004,577,,,,577,,589,
929,Education - Primary Teaching,MI005,495,,,,495,,521,
930,Education - Primary Teaching - Gaeltacht Applicants,MI006,456,,,,462,,519,#
931,Early Childhood Care and Education,MI007,357,,,,357,,409,
932,Education and Psychology - Primary Teaching,MI008,588,,,,588,,601,
933,"Education, Business Studies and Accounting",MI009,402,,,,402,,455,
934,"Education, Business Studies and Religious Studies",MI010,368,,,,368,,389,
935,"Education, Gaeilge and Religious Studies",MI011,409,,,,409,,451,
936,"Education, Gaeilge and Business Studies",MI012,401,,,,401,,463,
937,"Education, Mathematics and Gaeilge",MI013,444,,,,444,,477,
938,"Education, Mathematics and Business Studies",MI014,434,,,,434,,487,
939,Theology and Arts,MU001,290,,290,,290,,349,
940,Theology,MU002,440,,,,440,,440,
941,Computing (Degree Award options),NC003,260,,,,260,,303,
942,Human Resource Management,NC005,300,,,,300,,331,
943,Business,NC009,300,,,,300,,346,
944,Psychology,NC010,400,,,,400,,440,
945,Marketing Practice,NC020,280,,,,282,,338,
946,Accounting and Finance,NC022,337,,,,337,,378,
947,Technology Management (with specialisations),NC023,261,,,,261,,282,
948,Computing,NC102,220,,,,220,,342,
949,Business,NC103,250,,,,250,,327,
950,Business Computing,NC104,243,,,,243,,423,
951,Montessori Education,NM701,187,,,,187,,407,
952,Montessori Education,NM801,220,,,,220,,290,
953,Arts and Humanities,PC402,200,,121,,80,,368,
954,Applied Social Studies - Professional Social Care,PC404,217,,197,,175,,269,
955,"Social, Political and Community Studies",PC405,253,,216,,216,,311,
956,Arts and Humanities (fulfils Teaching Council requirements),PC410,252,,209,,209,,300,
957,English and History (fulfils Teaching Council requirements),PC411,255,,209,,209,,310,
958,Medicine - Undergraduate Entry (HPAT required),RC001,733,,,,733,,738,#
959,Physiotherapy,RC004,566,,,,566,,567,
960,Pharmacy,RC005,579,,,,578,*,589,
961,Medicine - Graduate Entry (GAMSAT required),RC101,,,,,61,,63,#
962,Business,SG101,160,,160,,160,,336,
963,Computing (Level 6 - General Entry),SG102,254,,,,254,,321,
964,Computing - Games Development,SG131,280,,,,280,,378,
965,Applied Sport with Business,SG134,215,,,,215,,337,
966,Business in Tourism with Event Management,SG135,187,,,,187,,338,
967,Computing - Software Development,SG136,272,,,,272,,328,
968,Computing (Computer Networks and Cloud Infrastructure),SG137,324,,,,326,,367,
969,Computing (Level 7 - General Entry),SG138,260,,,,260,,351,
970,Business,SG141,261,,,,261,,347,
971,Business in International Marketing and Languages (French),SG142,279,,,,279,,386,
972,Business in International Marketing and Languages (Spanish),SG144,270,,,,270,,347,
973,Accounting,SG146,309,,,,309,,411,
974,Sport with Business,SG147,307,,,,307,,367,
975,Tourism with Event Management,SG148,269,,,,269,,340,
976,Fine Art,SG231,449,,449,,449,,556,#
977,Creative Design,SG232,273,,,,276,,353,
978,Performing Arts (Theatre Design),SG235,319,,,,319,,398,
979,Performing Arts (Acting),SG236,235,,,,235,,400,
980,Performing Arts,SG241,328,,,,328,,387,
981,Early Childhood Care and Education,SG242,279,,,,279,,319,
982,Social Care Practice,SG243,301,,,,301,,346,
983,Fine Art,SG244,505,,,,505,,505,#
984,Creative Design,SG245,282,,,,282,,339,
985,Computing,SG246,290,,,,290,,333,
986,English and Psychology,SG247,309,,,,309,,382,
987,Sociology and Politics,SG248,281,,,,281,,327,
988,Writing and Literature,SG249,297,,,,297,,368,
989,Application Design and User Experience,SG250,412,,,,412,,412,
990,Computing (Smart Technologies),SG251,327,,,,342,,367,
991,Software Development,SG252,307,,,,307,,319,
992,Computer Networks and Cloud Infrastructure,SG253,324,,,,378,,378,
993,Writing and Literature Online,SG254,225,,225,,225,,328,
994,Engineering (General Entry),SG300,209,,,,209,,296,
995,Construction Economics,SG302,184,,,,184,,256,
996,Applied Construction Technology,SG308,171,,,,171,,354,
997,Engineering (General Entry),SG330,243,,,,243,,399,
998,Interior Architecture and Design,SG331,236,,,,236,,378,
999,Advanced Wood and Sustainable Building Technology,SG332,208,,,,208,,338,
1000,Mechanical Engineering,SG333,216,,,,216,,347,
1001,Mechatronic Engineering,SG334,290,,,,290,,361,
1002,Precision Engineering and Design,SG336,309,,,,309,,451,
1003,Civil Engineering,SG338,245,,,,245,,443,
1004,Quantity Surveying,SG339,195,,,,195,,337,
1005,Civil Engineering,SG342,415,,,,415,,480,
1006,Quantity Surveying,SG343,311,,,,311,,367,
1007,Construction Project Management and Applied Technology,SG346,291,,,,291,,337,
1008,Architecture,SG347,360,,,,360,,411,
1009,Interior Architecture and Design,SG348,316,,,,331,,368,
1010,Science,SG401,209,,209,,209,,288,
1011,Environmental Science with Ecology (Level 6),SG404,264,,264,,358,,377,
1012,Health and Exercise Science,SG406,367,,,,367,,429,
1013,Pharmaceutical Science with Drug Development,SG431,269,,,,269,,387,
1014,Occupational Safety and Health,SG433,223,,,,223,,360,
1015,Human Nutrition,SG434,280,,,,280,,420,
1016,Health Science and Physiology,SG435,289,,,,289,,409,
1017,Biomedical Science,SG436,262,,,,262,,465,
1018,Forensic Investigation and Analysis,SG437,243,,,,243,,367,
1019,Environmental Science with Ecology (Level 7),SG439,254,,,,254,,409,
1020,Occupational Safety and Health,SG442,290,,,,290,,367,
1021,Human Nutrition,SG443,356,,,,356,,397,
1022,Science Undenominated,SG444,338,,,,338,,420,
1023,Pharmaceutical Science with Drug Development,SG445,311,,,,311,,367,
1024,Health Science and Physical Activity,SG447,328,,,,328,,387,
1025,Forensic Investigation and Analysis,SG448,306,,,,307,,368,
1026,Medical Biotechnology,SG449,341,,,,341,,395,
1027,Environmental Science with Ecology (Level 8),SG450,300,,,,304,,368,
1028,Health and Medical Information Science (Online),SG530,285,,285,,285,,285,
1029,Business Administration,SG535,228,,,,228,,316,
1030,Business,SG536,223,,,,223,,379,
1031,Marketing and Sales,SG537,234,,,,234,,389,
1032,Culinary Arts,TL620,189,,189,,189,,308,
1033,Science (Biological and Environmental Studies),TL651,223,,223,,233,,434,
1034,Pharmacy Technician,TL652,260,,,,260,,348,
1035,"Animation, Visual Effects and Motion Design (Level 7)",TL701,228,,,,228,,443,
1036,"TV, Radio and New Media (Level 7)",TL702,243,,,,243,,462,
1037,Computing with Software Development,TL710,232,,,,232,,319,
1038,Computing with Games Development,TL711,224,,,,224,,301,
1039,Computing (Degree Award options),TL715,251,,,,251,,368,
1040,Computer Systems and Networking,TL716,269,,,,269,,338,
1041,Business (Major Specialism in: Acctng or Mktg or Mgmnt),TL731,219,,,,219,,399,
1042,Agricultural Mechanisation,TL743,,,,,,,,
1043,Agricultural Engineering,TL744,243,,,,243,,359,
1044,Civil and Environmental Engineering,TL745,261,,261,,145,,355,
1045,Engineering in Mechanical and Manufacturing Engineering,TL747,200,,,,200,,368,
1046,Agricultural Science,TL748,249,,,,249,,398,
1047,Pharmaceutical Science (Degree Award options),TL755,261,,,,261,,433,
1048,Animal Bioscience,TL758,251,,,,261,,380,
1049,Health and Leisure (Degree Award Options),TL771,208,,,,208,,370,
1050,Health and Leisure with Massage,TL772,218,,,,218,,378,
1051,Coaching and Sports Performance,TL773,106,,106,,106,,297,
1052,Early Childhood Care and Education,TL780,234,,,,234,,354,
1053,Social Care,TL781,225,,,,225,,318,
1054,"Animation, Visual Effects and Motion Design (Level 8)",TL801,281,,,,281,,349,
1055,"TV, Radio and New Media (Level 8)",TL802,325,,,,325,,397,
1056,Computing with Software Development,TL810,310,,,,310,,389,
1057,Computing with Games Development,TL811,358,,,,358,,,
1058,Computing (Degree Award options),TL815,308,,,,308,,360,
1059,Event Management (3 year programme),TL823,299,,,,299,,369,
1060,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,306,,,,306,,381,
1061,Agricultural Engineering,TL844,300,,,,300,,373,
1062,Civil Engineering,TL845,325,,,,325,,413,
1063,Manufacturing Engineering,TL847,302,,,,302,,368,
1064,Agricultural Science,TL848,308,,,,308,,380,
1065,Wildlife Biology (Degree Award options),TL851,309,,,,309,,383,
1066,Pharmaceutical Science (Degree Award options),TL855,317,,,,317,,369,
1067,Veterinary Bioscience,TL858,308,,,,308,,393,
1068,Health and Leisure (Degree Award options),TL871,300,,,,300,,379,
1069,Health and Leisure with Massage,TL872,309,,,,309,,408,
1070,Coaching and Sports Performance,TL873,289,,,,289,,329,
1071,Early Childhood Care and Education,TL880,307,,,,307,,349,
1072,Social Care,TL881,308,,,,309,,362,
1073,Counselling with Addiction - Mature applicants only,TL889,,,,,,,,#
1074,General Nursing and Mature Applicants,TL890,440,*,414,,414,,441,
1075,Mental Health Nursing and Mature Applicants,TL891,389,,378,,378,,399,
1076,Music,TR002,435,,429,,382,,468,
1077,History,TR003,497,,493,,456,,511,
1078,Law,TR004,566,,565,*,565,*,578,
1079,Philosophy,TR005,442,,,,442,,476,
1080,Psychology,TR006,567,,555,*,555,*,578,
1081,Clinical Speech and Language Studies,TR007,529,,,,529,,553,
1082,Music Education,TR009,420,,,,420,,532,#
1083,History and Political Science,TR012,555,,554,,552,*,578,
1084,"Philosophy, Political Science, Economics and Sociology",TR015,589,,,,589,,601,
1085,Deaf Studies,TR016,340,,,,329,,377,
1086,Law and Business,TR017,602,,,,602,,613,
1087,Law and French,TR018,565,,,,565,,589,
1088,Law and German,TR019,543,,542,,542,,566,
1089,Law and Political Science,TR020,602,,,,601,*,613,
1090,"Classics, Ancient History and Archaeology",TR021,370,,,,370,,434,
1091,Early and Modern Irish,TR022,398,,,,398,,451,
1092,English Studies,TR023,487,,476,,474,,511,
1093,European Studies,TR024,544,,542,,530,,566,
1094,Drama and Theatre Studies,TR025,564,,530,,530,,581,#
1095,Ancient and Medieval History and Culture,TR028,342,,,,342,,453,
1096,Political Science and Geography,TR029,526,,520,,510,,533,
1097,Mathematics,TR031,531,,,,531,,589,
1098,Engineering,TR032,510,,509,*,508,,533,
1099,Computer Science,TR033,509,,,,509,,545,
1100,Management Science and Information Systems Studies,TR034,613,*,,,613,*,625,
