Code	Title	EOS	Mid	
CR125	Popular Music: Electric Bass Guitar at CIT Cork School of Music	#972	1021
CR126	Popular Music: Drums at CIT Cork School of Music	#878	1043
CR127	Popular Music: Electric Guitar at CIT Cork School of Music	#584	761
CR128	Popular Music: Keyboards at CIT Cork School of Music	#839	1009
CR129	Popular Music: Voice at CIT Cork School of Music	#857	927
CR130	Musical Theatre	#500	600
CR150	Business Information Systems	326	371
CR210	Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford	#979	979
CR220	Fine Art at CIT Crawford College of Art and Design	#620	819
CR225	Photography with New Media	#920	920
CR305	Physical Sciences (Common Entry)	279	309
CR310	IT Management	282	317
CR320	Biomedical Science (Offered jointly by CIT and UCC)	546	556
CR325	Pharmaceutical Biotechnology	388	422
CR333	Nutrition and Health Science	360	393
CR335	Biological Sciences (Common Entry)	381	419
CR340	Analytical Chemistry with Quality Assurance	288	315
CR360	Instrument Engineering	291	329
CR365	Environmental Science and Sustainable Technology	334	362
CR370	Agri-Biosciences	408	431
CR400	Accounting	316	389
CR420	Marketing	288	329
CR425	International Business with Language	300	392
CR500	Engineering (Common Entry)	381	424
CR510	Sustainable Energy Engineering	319	343
CR520	Biomedical Engineering	434	477
CR560	Architectural Technology	288	332
CR565	Interior Architecture	336	390
CR570	Quantity Surveying	279	342
CR572	Construction Management	253	300
CR580	Electrical Engineering	344	374
CR590	Electronic Engineering	342	411
CR600	Visual Communications	#587	888
CR660	Tourism Management	249	290
CR700	Theatre and Drama Studies at CIT Cork School of Music	#768    906	 
CK101	Arts - 3 years	300	368
CK102	Social Science	391	431
CK104	Arts with Music - 3 or 4 years (BMus or Chinese/European/Int'l Pathway)	#340	409
CK105	Film and Screen Media - 3 years or 4 years (International Pathway)	397	442
CK107	Geographical and Archaeological Sciences - 3 or 4 years (Int'l Pathway)	326	388
CK108	Arts International - 4 years	429	466
CK109	English - 3 years or 4 years (International Pathway)	347	423
CK110	World Languages	456	506
CK111	Early Years and Childhood Studies	398	429
CK112	Theatre and Performative Practices - 3 or 4 years (Int'l Pathway)	#324	470
CK113	Criminology - 3 years or 4 years (International Pathway)	408	430
CK114	Social Science (Youth and Community Work) - 3 years	#	
CK115	Social Work - Mature Applicants only	#	
CK116	Sports Studies and Physical Education	499	520
CK118	Digital Humanities and IT - 3 or 4 years (Work Exper. or Int'l Pathway)	307	361
CK120	Applied Psychology	506	532
CK121	Psychology and Computing - 3 or 4 years (Work Experience Pathway)	393	466
CK122	Government and Political Science	355	410
CK201	Commerce	465*	489
CK202	Accounting	467	506
CK203	Business Information Systems	409	444
CK204	Finance	531	555
CK205	Commerce (International) with French	409	473
CK206	Commerce (International) with German	408	446
CK207	Commerce (International) with Italian	408	425
CK208	Commerce (International) with Hispanic Studies	431	455
CK209	Commerce (International) with Irish	509	528
CK211	Commerce (International) with Chinese Studies	398	420
CK212	Economics (Transformational Learning) - 3 or 4 years (Int'l Pathway)	400	429
CK301	Law (Pathways) -  3 or 4 years	476	519
CK302	Law and French	453	531
CK304	Law and Irish	462	510
CK307	Law and Business	522	554
CK401	Computer Science	402	456
CK402	Biological and Chemical Sciences	498	520
CK404	Biological, Earth and Environmental Sciences	412	451
CK405	Genetics	476	496
CK406	Chemical Sciences	457	488
CK407	Mathematical Sciences	531	578
CK408	Physics and Astrophysics	511	566
CK409	Industrial Physics (offered jointly by UCC and CIT)	413	532
CK411	Data Science and Analytics	509	542
CK412	Agricultural Science	457	509
CK502	Food Marketing and Entrepreneurship	433	456
CK504	Nutritional Sciences	492	509
CK505	Food Science	444	477
CK506	International Development and Food Policy	367	410
CK600	Engineering	465	532
CK606	Architecture (offered jointly by UCC and CIT)	465	496
CK701	Medicine (Undergraduate Entry - HPAT required)	#729	740
CK702	Dentistry	590	613
CK703	Pharmacy	577	589
CK704	Occupational Therapy	532*	554
CK705	Speech and Language Therapy	509	529
CK706	Public Health Sciences	419	451
CK707	Medical and Health Sciences	510*	543
CK710	General Nursing	440	466
CK712	Children's and General Nursing (Integrated)	499	520
CK720	Mental Health Nursing	398	429
CK730	Intellectual Disability Nursing	359	388
CK740	Midwifery	444	474
CK791	Medicine  - Graduate Entry (GAMSAT required)	#58*	59 	
AC120	International Business	234	269
AC137	Liberal Arts	252	275	 
CT125	Information Technology	235	280 	
CM001	Education - Primary Teaching	452*	462
CM002	Education - Primary Teaching - Gaeltacht Applicants	#421	440
CM003	Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge	#491	506
CM004	Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta)	#492	569
CM010	Education Studies	317	373
CM020	Early Childhood Education	336	363	
DB500	Computing	242	320
DB501	Computing (Cloud Computing)	326	329
DB502	Computing (Data Analytics and Big Data)	269	269
DB503	Computing (Software Development)	242	282
DB504	Computing (Web and Mobile Technology)	227	269
DB510	Audio Production and Music Project Management	233	293
DB512	Business Studies	229	301
DB514	Business Studies (Law)	269	337
DB515	Business Studies (Human Resource Management)	225	288
DB516	Financial Services	328	336
DB517	Event Management	226	327
DB518	Marketing (Digital Media)	210	289
DB521	Accounting and Finance	225	271
DB524	Business Information Systems	402	402
DB525	Marketing (Digital Media and Cloud Computing)	284	309
DB526	Business Information Systems (Cloud Computing)	253	288
DB527	Applied Social Care	235	288
DB531	Marketing	220	288
DB562	Psychology	208	310
DB566	Social Science	216	308
DB567	Film	192	295
DB568	Law	245	308
DB569	Business (Psychology)	279	338	
DC001	Education - Early Childhood Education	398	424
DC002	Education - Primary Teaching	462*	485
DC003	Education - Primary Teaching - Gaeltacht Applicants	#433	473
DC004	Education - Primary Teaching (Church of Ireland Centre formerly CICE)	#357	
DC005	Education - Primary Teaching - Irish Sign Language	#316	316
DC009	Arts (Joint Honours) - Humanities	347	408
DC010	Post Primary Teacher Education - Religious Education and English	386	413
DC011	Post Primary Teacher Education - Religious Education and History	352	389
DC012	Post Primary Teacher Education - Religious Education and Music	#367	415
DC013	Post Primary Teacher Ed - Gaeilge with French/German/Spanish	410	509
DC014	BA in Jazz and Contemporary Music Performance	#428	590
DC110	Business Studies International	440	462
DC111	Business Studies	463	479
DC112	Global Business (France)	495	510
DC113	Global Business (Germany)	440	476
DC114	Global Business (Spain)	501	543
DC115	Accounting and Finance	487	500
DC116	Global Business (USA)	578	589
DC117	Aviation Management / Aviation Management with Pilot Studies	463	487
DC118	Gnó agus Gaeilge / Business and Irish	357	399
DC119	Global Business (Canada)	566	577
DC120	Enterprise Computing	350	389
DC121	Computer Applications	370	418
DC123	Data Science	467	511
DC126	Actuarial Mathematics	520	543
DC127	Common Entry into Actuarial and Financial Mathematics	509	531
DC131	Communication Studies	400	441
DC132	Journalism	401	440
DC133	Multimedia	403	451
DC155	Applied Language and Translation Studies	371	430
DC161	Analytical Science	446	463
DC162	Chemical and Pharmaceutical Sciences	488	498
DC166	Environmental Science and Technology	412	442
DC167	Physics with Astronomy	434	477
DC168	Genetics and Cell Biology	489	500
DC171	Applied Physics	402	433
DC173	Physics with Biomedical Sciences	402	458
DC181	Biotechnology	476	488
DC190	Electronic and Computer Engineering (with choice of four majors)	391	433
DC193	Mechatronic Engineering	404	445
DC195	Mechanical and Manufacturing Engineering	401	444
DC197	Biomedical Engineering	402	446
DC200	Common Entry into Engineering (Undenominated Entry)	381	444
DC201	Common Entry into Science (Undenominated Entry)	454	477
DC202	Sport Science and Health	467	476
DC203	Science Education	424	476
DC204	Athletic Therapy and Training	484	500
DC205	Physical Education with Biology	490	521
DC206	Physical Education with Mathematics	443	476
DC208	Psychology	509	521
DC209	Health and Society	419	440
DC215	General Nursing	414	443
DC216	Mental Health Nursing	368	389
DC217	Intellectual Disability Nursing	347	362
DC218	Children's and General Nursing (Integrated)	467	480
DC230	Economics, Politics and Law	400	431
DC231	International Relations	387	445
DC232	Law and Society (BCL)	453	487
DC235	Education and Training - Daytime Delivery Mode (full-time)	307	327
DC238	Social Sciences and Cultural Innovation	358	388
DC240	Marketing, Innovation and Technology	451	474
DC291	Arts (Joint Honours) - Media Studies	349	392
DC292	Arts (Joint Honours) - Law	356	388
DC293	Arts (Joint Honours) - International Languages	369	400
DC295	Arts (Joint Honours) - Politics	348	387 	
DT001	Product Design	433	464
DT028	Transport Operations and Technology	279	348
DT035	Electrical Services and Energy Management	293	340
DT066	Engineering (General Entry)	400	457
DT101	Architecture (test and interview)	#618	647
DT106	Planning and Environmental Management	312	337
DT110	Property Economics (Valuation Surveying)	367	424
DT111	Quantity Surveying and Construction Economics	391	421
DT112	Geographic Science	287	335
DT117	Construction Management	356	373
DT175	Architectural Technology	388	425
DT201	Science (General Entry)	464	477
DT203	Analytical Chemistry (Environmental Forensic and Pharmaceutical)	341	403
DT204	Biomedical Science	501	512
DT205	Mathematical Sciences	315	363
DT206	Biomedical and Molecular Diagnostics	473	487
DT211	Computer Science (Infrastructure)	381	414
DT220	Industrial Mathematics	300	317
DT221	Physics with Energy and Environment	348	436
DT222	Physics Technology	321	371
DT223	Human Nutrition and Dietetics	553	566
DT224	Optometry	487	529
DT225	Public Health Nutrition	440	476
DT227	Science with Nanotechnology	312	361
DT228	Computer Science	451	466
DT229	Clinical Measurement Science	491	509
DT235	Physics with Medical Physics and Bioengineering	357	403
DT282	Computer Science (International)	377	402
DT299	Chemical Sciences with Medicinal Chemistry	420	445
DT302	Business Analytics	325	403
DT304	E-Commerce in Retailing	341	388
DT321	Business and Law	462	478
DT341	Marketing	400	419
DT343	Retail and Services Management	301	332
DT354	Business Computing	322	341
DT358	Logistics and Supply Chain Management	300	359
DT365	Business and Management	440	456
DT366	Accounting and Finance	432	454
DT398	Human Resource Management	375	388
DT399	Economics and Finance	437	465
DT401	International Hospitality Management	300	337
DT405	Culinary Science	308	377
DT407	Culinary Arts	271	342
DT412	Tourism Marketing	284	322
DT413	Event Management	356	389
DT416	Culinary Entrepreneurship	275	339
DT420	Nutraceuticals in Health and Nutrition	392	432
DT421	Food Innovation	321	366
DT422	Pharmaceutical Healthcare	397	423
DT491	Environmental Health	343	380
DT501	Music	#383	520
DT504	Film and Broadcasting	443	467
DT506	Commercial Modern Music	#468	835
DT508	Game Design	403	454
DT517	Languages and English Studies	326	419
DT518	Languages and International Tourism	307	357
DT529	Drama (Performance)	#371	519
DT532	Law (LL.B.)	422	441
DT533	Contemporary Visual Culture	#	
DT544	Interior Design	#552	866
DT545	Design - Visual Communication	#667	897
DT546	Fine Art	#668	813
DT555	International Business and Languages	353	399
DT559	Photography	#700	926
DT571	Social Care	394	424
DT572	Early Childhood Education	385	403
DT582	Journalism	347	373
DT596	Print Media Technology and Management	252	311
DT597	Creative and Cultural Industries	280	369	 
DL821	English, Media and Cultural Studies	211	317
DL822	Arts Management	209	319
DL823	Business Studies - Entrepreneurship and Management	260	316
DL825	Applied Psychology	349	413
DL826	Visual Communication Design	#736	989
DL827	Art	#583	902
DL828	3D Design, Modelmaking and Digital Art	#691	866
DL829	Design for Stage and Screen (Costume Design)	#817	1021
DL830	Design for Stage and Screen (Makeup Design)	#879	953
DL831	Design for Stage and Screen (Production Design)	#893	1073
DL832	Animation	#855	1055
DL833	Photography	#636	791
DL834	Film and Television Production	#933	1011
DL835	Creative Media Technologies	237	289
DL836	Creative Computing	217	326
DL837	New Media Studies	290	349
DL838	Creative Music Production	#746	873	
GC200	Business Studies (Cork)	269	359
GC201	Accounting and Finance (Cork)	251	388
GC230	Computing Science (Cork)	228	327
GC300	Business Studies (Limerick)	251	302
GC301	Accounting and Finance	307	314
GC302	Business Studies - (HRM, Limerick)	269	269
GC305	International Hospitality Management (Limerick)	327	327
GC400	Business Studies (Dublin)	246	297
GC401	Accounting and Finance (Dublin)	181	309
GC402	Business Studies (HRM, Dublin)	217	290
GC403	Law (Dublin)	225	308
GC405	International Hospitality Management (Dublin)	254	272
GC407	Business Studies (Marketing, Dublin)	246	330
GC430	Computing Science (Dublin)	217	269
GC450	Journalism and Visual Media (Dublin)	227	307
GC462	Design Communication (Dublin)		
GC489	Interior Architecture (Dublin)	#267	361
GC494	Fashion Design (Dublin)	#	
ID001	Accounting and Finance	229	291
ID002	Business Studies	285	366
ID003	Business Studies with Chinese		 	
BN101	Business	252	289
BN103	Business and Information Technology	254	290
BN104	Computing (Information Technology)	260	293
BN107	Applied Social Studies in Social Care	300	328
BN108	Engineering (Common Entry with Award options)	271	318
BN109	Business (Common Entry with Award options)	260	279
BN110	International Business	253	308
BN111	Sports Management and Coaching	270	298
BN112	Creative Digital Media	280	329
BN113	Horticulture	289	321
BN114	Accounting and Finance	280	332
BN115	Community and Youth Development	250	298
BN117	Computer Engineering in Mobile Systems	273	311
BN118	Early Childhood Care and Education	290	320
BN119	Digital Marketing	270	308
BN120	Digital Forensics and Cyber Security	281	326
BN121	Mechatronic Engineering	276	340
BN123	Design,Technology and Innovation	297	318 	
TA022	Creative Digital Media	260	318
TA023	Advertising and Marketing Communications	235	299
TA024	Early Childhood Care and Education	217	307
TA025	Social Care Practice	261	297
TA026	International Hospitality and Tourism Management	208	269
TA027	Botanical Cuisine	236	273
TA028	Digital Marketing Technologies	220	313
TA121	Accounting and Finance	202	328
TA122	Management	218	297
TA123	Marketing Management	207	284
TA125	International Business	229	300
TA221	Electronic Engineering	251	321
TA222	Mechanical Engineering	243	302
TA223	Sustainable Energy Engineering	236	305
TA224	Biomedical Design	218	324
TA225	Automation Engineering	235	288
TA226	Engineering Software	243	304
TA321	Pharmaceutical Science	261	298
TA322	Computing	200	294
TA323	Computing with IT Management	243	309
TA326	DNA and Forensic Analysis	300	362
TA327	Sports Science and Health	341	381
TA328	Computing with Language (French/German/Spanish)	218	317
TA329	Computing with Data Analytics	218	296 	
AD101	First Year Art & Design (Common Entry)	# +mat	550
AD102	Graphic Design and Moving Image Design	# +mat	635
AD103	Textile & Surface Design and Jewellery & Objects	# +mat	545
AD202	Education & Design or Fine Art (Second Level Teaching)	# +mat	580
AD204	Fine Art	# +mat	600
AD211	Fashion Design	# +mat	600
AD212	Product Design	# +mat	600
AD215	Visual Culture	300	338
AD217	Illustration	# +mat	625
AD222	Interaction Design	# +mat	657	 
NC003	Computing (Degree Award options)	261	316
NC005	Human Resource Management	297	320
NC009	Business	297	339
NC010	Psychology	366	399
NC020	Marketing Practice	270	307
NC022	Accounting and Finance	338	376
NC023	Technology Management (with specialisations)	260	303
NC025	Data Science	297	371	 
RC001	Medicine - Undergraduate Entry (HPAT required)	#729	733
RC004	Physiotherapy	532*	542
RC005	Pharmacy	555	566
RC101	Medicine - Graduate Entry (GAMSAT required)	#60	62	
TR002	Music	#414	473
TR003	History	486	518
TR004	Law	532	552
TR005	Philosophy	391	446
TR006	Psychology	555*	577
TR007	Clinical Speech and Language Studies	499	529
TR009	Music Education	#430	465
TR012	History and Political Science	532*	557
TR015	Philosophy, Political Science, Economics and Sociology	566	577
TR016	Deaf Studies	337	372
TR017	Law and Business	576	589
TR018	Law and French	532*	554
TR019	Law and German	523	555
TR020	Law and Political Science	567	600
TR021	Classics, Ancient History and Archaeology	377	495
TR022	Early and Modern Irish	347	407
TR023	English Studies	463	511
TR024	European Studies	520	544
TR025	Drama and Theatre Studies	#489	531
TR028	Ancient and Medieval History and Culture	339	451
TR029	Political Science and Geography	477	500
TR031	Mathematics	566	589
TR032	Engineering	487*	520
TR033	Computer Science	465*	488
TR034	Management Science and Information Systems Studies	589*	602
TR035	Theoretical Physics	554	601
TR038	Engineering with Management	499	543
TR039	Computer Science and Language	435	498
TR040	Middle Eastern and European Languages and Cultures	485	518
TR041	Religion	347	393
TR051	Medicine (HPAT required)	#730	739
TR052	Dental Science	590*	602
TR053	Physiotherapy	533*	544
TR054	Occupational Therapy	500	520
TR055	Radiation Therapy	510	521
TR056	Human Health and Disease	543	565
TR060	Biological and Biomedical Sciences	510*	542
TR061	Chemical Sciences	488*	520
TR062	Geography and Geoscience	435	485
TR063	Physical Sciences	498*	543
TR072	Pharmacy	555*	577
TR080	Global Business	565	577
TR081	Business, Economic and Social Studies (BESS)	518*	542
TR082	Computer Science and Business	510	542
TR083	Sociology and Social Policy	451	474
TR084	Social Studies (Social Work)	420*	462
TR085	Business Studies and French	509	553
TR086	Business Studies and German	474	495
TR087	Business Studies and Russian	467	487
TR089	Business Studies and Polish	393	434
TR090	Business Studies and Spanish	510	543
TR091	General Nursing (Meath and St James's)	393*	420
TR093	General Nursing (Adelaide School of Nursing)	#378*	409
TR095	Mental Health Nursing	358	377
TR097	Intellectual Disability Nursing	346	350
TR911	Children's and General Nursing (Integrated)	476*	487
TR913	Midwifery	423	462	
DN100	Architecture	473	509
DN120	Landscape Architecture	353	403
DN130	City Planning and Environmental Policy	367	421
DN150	Engineering (Common Entry)	511	554
DN200	Science (options)	521	554
DN201	Computer Science (Common Entry)	488	509
DN230	Actuarial and Financial Studies	577	589
DN250	Agricultural Science (options)	420	462
DN252	Dairy Business	398	428
DN253	Agri - Environmental Sciences	403	419
DN261	Food Science	434	467
DN262	Human Nutrition	493	510
DN271	Forestry	303	361
DN272	Horticulture, Landscape and Sportsturf Management	252	312
DN300	Veterinary Medicine - Undergraduate Entry	#567	589
DN301	Veterinary Medicine - Graduate Entry	#	
DN310	Veterinary Nursing	441	487
DN400	Medicine - Undergraduate Entry (HPAT required)	#735	745
DN401	Medicine - Graduate Entry (GAMSAT required)	#59*	61
DN410	Radiography	507	522
DN411	Radiography - Graduate Entry	#	
DN420	Physiotherapy	542	555
DN425	Health and Performance Science	488	509
DN430	Sport and Exercise Management	436	455
DN440	Biomedical, Health and Life Sciences	565*	579
DN450	General Nursing	398	420
DN451	Children's and General Nursing (Integrated)	462*	499
DN452	Midwifery	409	452
DN453	Mental Health Nursing	379	403
DN520	Arts (Two Subjects)	336	408
DN530	Humanities (options)	348	411
DN541	Modern Languages (options)	348	412
DN600	Law (options)	520*	532
DN610	Business and Law	521	543
DN650	Commerce	498*	510
DN660	Commerce International (options)	507	531
DN670	Economics and Finance	601	601
DN700	Social Sciences (options)	388	441
DN710	Economics	476	488
DN720	Psychology	517	531
DN750	Social Policy and Sociology	330	366	
DK810	Accounting and Finance	306	391
DK816	Business Studies	300	357
DK820	Computing in Games Development	307	369
DK821	Computing in Software Development	301	347
DK830	Building Surveying	302	349
DK831	Architectural Technology	301	366
DK832	Construction Management	300	329
DK843	Engineering (Common Entry)	303	402
DK860	Music	#499	649
DK861	Arts	300	358
DK862	Social Care	300	338
DK863	Creative Media	300	376
DK864	Film and Television Production	300	332
DK865	Audio and Music Production	301	346
DK870	General Nursing	392	401
DK872	Intellectual Disability Nursing	300	317
DK874	Mental Health Nursing	356	378
DK876	Early Childhood Studies	305	359
DK877	Midwifery	398*	441
DK880	Health and Physical Activity	300	367
DK882	Agriculture (Award options)	303	358
DK883	Science (Award options)	300	369 	
GA181	Accounting	303	378
GA182	Business	290	347
GA183	Business Information Systems	309	373
GA184	Marketing and Sales	307	348
GA185	Finance and Economics	307	398
GA186	Business with Entrepreneurship	297	328
GA187	Rural Enterprise and Agri-Business (Mountbellew Campus)	280	367
GA281	Film and Documentary	287	360
GA282	Heritage Studies	238	308
GA283	Contemporary Art	260	340
GA284	Design	309	377
GA380	International Hotel Management	225	289
GA381	International Tourism Management	261	290
GA382	Culinary and Gastronomic Science	225	316
GA384	Event Management with Public Relations	209	289
GA385	Retail Management	219	319
GA480	Construction Management	260	312
GA482	Quantity Surveying and Construction Economics	280	340
GA483	Architectural Technology	251	321
GA484	Civil Engineering	270	362
GA580	Software and Electronic Engineering	301	351
GA680	Mechanical Engineering	336	389
GA681	Energy Engineering	281	328
GA682	Biomedical Engineering	331	383
GA683	Agricultural Engineering	301	365
GA684	Engineering (Common entry to Agri/Biomed/Energy/Mech Eng)	346	406
GA780	Applied Freshwater and Marine Biology	300	360
GA781	Applied Biology and Biopharmaceutical Science	317	376
GA782	Chemical and Pharmaceutical Science	307	346
GA783	Physics and Instrumentation	373	378
GA784	Science (Undenominated)	327	377
GA785	Medical Science	451	486
GA786	Forensic Science and Analysis	300	366
GA787	Computing in Software Development	275	327
GA788	Computing and Digital Media	270	327
GA789	Agriculture and Environmental Management (Mountbellew Campus)	297	339
GA790	Sport and Exercise Science	350	379
GA791	Public Health Nutrition	364	397
GA880	General Nursing - Mayo Campus	389*	400
GA882	Psychiatric Nursing - Mayo Campus	346	370
GA885	Outdoor Education - Mayo Campus	210	298
GA887	History and Geography - Mayo Campus	228	296
GA889	Applied Social Care - Mayo Campus	260	297
GA890	Early Childhood Care and Education - Mayo Campus	278	319
GA980	Education (Design Graphics and Construction) - Letterfrack Campus	376	389
GA981	Furniture Design and Manufacture - Letterfrack Campus	271	350
GA982	Furniture and Wood Technology - Letterfrack Campus	270	352	
GY101	Arts (Joint-Honours)	300	374
GY104	Arts (Psychology)	507	529
GY105	Arts (History)	318	358
GY107	Na Dána (Gaeilge agus Léann an Aistriúcháin)	330	397
GY109	Arts (Mathematics and Education)	411	487
GY110	Arts with Children's Studies	382	409
GY111	Arts with Creative Writing	402	472
GY112	Arts with Film Studies	338	370
GY113	Arts with Human Rights	338	409
GY115	Arts with Performing Arts Studies	328	367
GY118	Arts (Drama, Theatre and Performance Studies)	410	451
GY119	Journalism	410	475
GY120	Arts (Child, Youth and Family: Policy and Practice)	309	346
GY121	Arts (Children's Studies)	356	389
GY122	Na Dána (Cumarsáid agus Gaeilge) 	308	399
GY123	BSc (Applied Social Sciences)	357	388
GY124	Arts (Arts with Data Science)	434	466
GY125	Arts (Digital Arts and Technology)	324	379
GY126	Arts (English and Media Studies)	418	451
GY127	Arts (Film and Digital Media)	387	435
GY128	Arts (Global Languages)	370	440
GY129	Arts (International)	408	477
GY130	Arts (Music)	400	444
GY131	Arts (History and Globalisation Studies)	340	431
GY132	Government (Politics, Economics and Law)	402	444
GY133	Education (Computer Science and Mathematical  Studies)	401	466
GY201	Commerce	420	453
GY202	Commerce (International) with French	484	513
GY203	Commerce (International) with German	489	541
GY204	Commerce (International) with Spanish	484	500
GY206	Business Information Systems (Work Placement & Optional Int'l Study)	431	445
GY207	Commerce (Accounting) including optional Global Experience year	486	510
GY208	Commerce (Gaeilge)	473	488
GY209	Commerce (Global Experience)	509	531
GY250	Law & Business	436	467
GY251	Law	473	498
GY252	Law & Human Rights	510	521
GY261	Business Studies (International Hotel Management, Shannon)	#486	615
GY262	Commerce (International Hotel Management, Shannon)	#671	726
GY301	Science	400	456
GY303	Biomedical Science	533	566
GY304	Biotechnology	473	507
GY308	Environmental Science	413	440
GY309	Financial Mathematics and Economics	454	498
GY310	Marine Science	409	456
GY313	Environmental Health and Safety	402	435
GY314	Earth and Ocean Sciences	402	425
GY318	Biopharmaceutical Chemistry	510	532
GY319	Mathematical Science	456	531
GY320	Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)	401	487
GY350	Computer Science and Information Technology	425	466
GY401	Engineering (Undenominated)	444	499
GY402	Civil Engineering	509	543
GY405	Mechanical Engineering	443	499
GY406	Electronic and Computer Engineering	509	547
GY408	Biomedical Engineering	519	543
GY410	Project and Construction Management	434	464
GY413	Energy Systems Engineering	532	589
GY414	Electrical and Electronic Engineering	454	487
GY501	Medicine (five year/six year course, HPAT required)	#726*	731
GY502	Occupational Therapy	532	543
GY503	Speech and Language Therapy	529	543
GY504	Podiatric Medicine	434	463
GY515	General Nursing (Galway and Portiuncula)	442	466
GY516	Mental Health Nursing	388	413
GY517	Midwifery	429	468 	
LY108	Business - Accounting	318	399
LY118	Business	287	352
LY208	Law	300	359
LY218	Business - with Spanish/Irish options	298	367
LY228	Sports and Exercise (Common Entry)	278	330
LY408	Design (Common Entry)	#307	368
LY508	Fire Safety Engineering	270	299
LY518	Quantity Surveying	307	368
LY528	Construction Management	267	291
LY608	Mechanical Engineering	304	333
LY618	Electronics and Embedded Systems	307	339
LY708	Applied Computing	300	348
LY818	Science (Common Entry)	302	371
LY828	Agriculture (Common Entry)	300	342
LY908	General Nursing	383	390
LY918	Psychiatric Nursing	291*	332
LY928	Intellectual Disability Nursing	288	299
LY968	Early Childhood Care, Health and Education	300	336
LY978	Health & Social Care (Common Entry)	260	299	
MI001	Contemporary & Applied Theatre Studies	345	381
MI002	Arts (offered in conjunction with the University of Limerick)	300	378
MI005	Education - Primary Teaching	473*	506
MI006	Education - Primary Teaching (Gaeltacht Applicants)	#442	473
MI007	Early Childhood Care and Education	366	402
MI008	Education and Psychology - Primary Teaching	543	555
MI009	Education, Business Studies and Accounting (Thurles Campus)	392	420
MI010	Education, Business Studies and Religious Studies (Thurles Campus)	326	355
MI011	Education, Irish and Religious Studies (Thurles Campus)	377	387
MI012	Education, Irish and Business Studies (Thurles Campus)	398	440
MI013	Education, Mathematics and Gaeilge (Thurles Campus)	433	465	 
CI101	Counselling and Psychotherapy (Limerick)	276	328	 
LC110	Art and Design (Common Entry, portfolio)	#734	918
LC114	Fashion and Textiles for Product and Costume (portfolio)	#900	988
LC220	Digital Marketing	254	288
LC223	Law and Taxation	308	372
